expert,agg,Elicitation,Sheet,p05,p50,p95
1,F,2010,EAIS,-1,1,2
1,F,2012,EAIS,-1,1,2
2,F,2010,EAIS,-1,0,1
2,F,2012,EAIS,-1,0,1
3,F,2010,EAIS,-1,2,5
3,F,2012,EAIS,0,0.2,0.2
4,F,2010,EAIS,4,6,8
4,F,2012,EAIS,0.1,2.5,3
5,F,2010,EAIS,-0.05,0.05,0.05
5,F,2012,EAIS,-0.3,0,0.15
6,F,2010,EAIS,-1,1,2
6,F,2012,EAIS,0.1,0.25,1.5
7,F,2010,EAIS,0,1,3
7,F,2012,EAIS,0,1,2
8,F,2010,EAIS,-0.8,0,2
8,F,2012,EAIS,-1,0.5,2
9,F,2010,EAIS,-3,-1,2
9,F,2012,EAIS,-2,-1,0.5
10,F,2010,EAIS,-0.6,0.1,0.5
10,F,2012,EAIS,-1,-0.5,0.5
11,F,2010,EAIS,0,0,0
11,F,2012,EAIS,1,5,10
12,F,2010,EAIS,-1,0.4,2
12,F,2012,EAIS,-0.5,1,10
13,F,2010,EAIS,0,1,3
13,F,2012,EAIS,0,1,3
1,F,2010,WAIS,0.5,1.5,3
1,F,2012,WAIS,0.5,1.5,3
2,F,2010,WAIS,3,8,12
2,F,2012,WAIS,5,10,15
3,F,2010,WAIS,0,2,4.5
3,F,2012,WAIS,0.5,0.5,1.5
4,F,2010,WAIS,0,1,2
4,F,2012,WAIS,0.25,1,2
5,F,2010,WAIS,-0.5,1,2.5
5,F,2012,WAIS,-0.5,0.5,2
6,F,2010,WAIS,0.5,0.5,0.5
6,F,2012,WAIS,4,12,30
7,F,2010,WAIS,-0.5,2.5,5
7,F,2012,WAIS,-0.5,2,10
8,F,2010,WAIS,0.5,3,4.5
8,F,2012,WAIS,0,1,2
9,F,2010,WAIS,6,7,12
9,F,2012,WAIS,2,4,8
10,F,2010,WAIS,2,2.5,10
10,F,2012,WAIS,0.5,1,2.5
11,F,2010,WAIS,0.5,2,6
11,F,2012,WAIS,1,2,20
12,F,2010,WAIS,0,1,3
12,F,2012,WAIS,0,2.5,4
13,F,2010,WAIS,0.5,0.5,1
13,F,2012,WAIS,0.5,1,2
1,F,2010,GIS,0.6,3.5,6.5
1,F,2012,GIS,0.5,1.5,2.5
2,F,2010,GIS,7,8,13
2,F,2012,GIS,5,6,8
3,F,2010,GIS,1,2,4
3,F,2012,GIS,0.5,1.5,4
4,F,2010,GIS,1,1.5,2
4,F,2012,GIS,1,2,2.5
5,F,2010,GIS,1,1.5,2
5,F,2012,GIS,4,12,24
6,F,2010,GIS,1,3,5
6,F,2012,GIS,2,5,6
7,F,2010,GIS,0.5,2.5,5
7,F,2012,GIS,0.5,2.5,4.5
8,F,2010,GIS,2,4,6
8,F,2012,GIS,1,2,3
9,F,2010,GIS,1,3,5
9,F,2012,GIS,1.5,3,5
10,F,2010,GIS,0,2,4
10,F,2012,GIS,0.5,2,4
11,F,2010,GIS,0.5,5,10
11,F,2012,GIS,0.5,5,8
12,F,2010,GIS,3,3,10
12,F,2012,GIS,0.5,1.5,3
13,F,2010,GIS,1,2.5,4.5
13,F,2012,GIS,1,3,4
EqualWts,T,2010,GIS,0.6,2.9,10
PerfWts,T,2010,GIS,0.35,2.37,5.81
EqualWts,T,2010,WAIS,-0.1,1.8,10.3
PerfWts,T,2010,WAIS,0.06,1.67,10.45
EqualWts,T,2010,EAIS,-1.9,0.3,6.4
PerfWts,T,2010,EAIS,-0.94,0.2,4.41
EqualWts,T,2012,GIS,0.6,2.5,15.8
PerfWts,T,2012,GIS,0.66,2.44,5.97
EqualWts,T,2012,WAIS,-0.3,1.6,19.4
PerfWts,T,2012,WAIS,0.19,1.56,16.94
EqualWts,T,2012,EAIS,-1.5,0.3,7.6
PerfWts,T,2012,EAIS,-0.84,0.22,7.58
