Expert,Researcher,Elicitation,Sheet,p05,p50,p95
1,M,2010,EAIS,-1,1,2
1,M,2012,EAIS,-1,1,2
2,M,2010,EAIS,-1,0,1
2,M,2012,EAIS,-1,0,1
3,O,2010,EAIS,-1,2,5
3,O,2012,EAIS,0,0.2,0.2
4,O,2010,EAIS,4,6,8
4,O,2012,EAIS,0.1,2.5,3
5,M,2010,EAIS,-0.1,0,0.1
5,M,2012,EAIS,-0.2,0,0.1
6,M,2010,EAIS,-1,1,2
6,M,2012,EAIS,0,0.2,1.5
7,M,2010,EAIS,0,1,3
7,M,2012,EAIS,0,1,2
8,O,2010,EAIS,-0.8,0,2
8,O,2012,EAIS,-1,0.5,2
9,M,2010,EAIS,-3,-1,2
9,M,2012,EAIS,-2,-1,0.5
10,O,2010,EAIS,-0.5,0.1,0.5
10,O,2012,EAIS,-1,-0.5,0.5
11,M,2010,EAIS,0,0,0
11,M,2012,EAIS,1,5,10
12,M,2010,EAIS,-1,0.4,2
12,M,2012,EAIS,-0.5,1,10
13,M,2010,EAIS,0,1,3
13,M,2012,EAIS,0,1,3
1,M,2010,WAIS,0.5,1.5,3
1,M,2012,WAIS,0.5,1.5,3
2,M,2010,WAIS,3,8,12
2,M,2012,WAIS,5,10,15
3,O,2010,WAIS,0,2,4.5
3,O,2012,WAIS,0.5,0.5,1.5
4,O,2010,WAIS,0,1,2.5
4,O,2012,WAIS,0.1,0.8,2.5
5,M,2010,WAIS,0.5,0.5,0.5
5,M,2012,WAIS,4,12,30
6,M,2010,WAIS,-0.5,2,5
6,M,2012,WAIS,-0.5,2,10
7,M,2010,WAIS,0.5,2.5,4.5
7,M,2012,WAIS,0,1,2
8,O,2010,WAIS,0.5,2.5,4.5
8,O,2012,WAIS,0,1,2
9,M,2010,WAIS,6,7,12
9,M,2012,WAIS,2,4,8
10,O,2010,WAIS,2,2.5,10
10,O,2012,WAIS,0.5,1,2.5
11,M,2010,WAIS,0.5,2,6
11,M,2012,WAIS,1,2,20
12,M,2010,WAIS,0,1,3
12,M,2012,WAIS,0,2.5,4
13,M,2010,WAIS,0.5,0.5,1
13,M,2012,WAIS,0.5,1,2
1,M,2010,GIS,0.6,3,6.5
1,M,2012,GIS,0.5,1.5,2.5
2,M,2010,GIS,7,8,13
2,M,2012,GIS,5,6,8
3,O,2010,GIS,1,2,4
3,O,2012,GIS,0.5,1.5,4
4,O,2010,GIS,1,1.5,2
4,O,2012,GIS,1,2,2.5
5,M,2010,GIS,1,1.5,2
5,M,2012,GIS,4,12,24
6,M,2010,GIS,1,3,5
6,M,2012,GIS,2,5,6
7,M,2010,GIS,0.5,2.5,5
7,M,2012,GIS,0.5,2.5,4.5
8,O,2010,GIS,2,4,6
8,O,2012,GIS,1,2,3
9,M,2010,GIS,1,3,5
9,M,2012,GIS,1.5,3,5
10,O,2010,GIS,0,2,4
10,O,2012,GIS,0.5,2,4
11,M,2010,GIS,0.5,5,10
11,M,2012,GIS,0.5,5,8
12,M,2010,GIS,3,3,10
12,M,2012,GIS,0.5,1.5,3
13,M,2010,GIS,1,2.5,4.5
13,M,2012,GIS,1,3,4
